*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
TIK129,Tikkurila Otex Akva - Colours 3ltr,,Tikkurila Otex Akva Adh Primer - Colours 3L,60.43,311,No VAT,Tikkurila Otex Akva Adh Primer - Colours 3L,72.50,202,No VAT,,,Active,Untracked
TIK130,Tikkurila Otex Akva - Colours 1ltr,,Tikkurila Otex Akva Adh Primer - Colours 1L,22.05,311,No VAT,Tikkurila Otex Akva Adh Primer - Colours 1L,26.46,202,No VAT,,,Active,Untracked
TIK131,Tikkurila Otex - White 10ltr,,Tikkurila Otex Adhesion Primer - White 10L,135.42,311,No VAT,Tikkurila Otex Adhesion Primer - White 10L,162.50,202,No VAT,,,Active,Untracked
TIK132,Tikkurila Otex - White 3ltr,,Tikkurila Otex Adhesion Primer - White 3L,43.93,311,No VAT,Tikkurila Otex Adhesion Primer - White 3L,52.71,202,No VAT,,,Active,Untracked
TIK133,Tikkurila Otex - White 1ltr,,Tikkurila Otex Adhesion Primer - White 1L,16.10,311,No VAT,Tikkurila Otex Adhesion Primer - White 1L,19.32,202,No VAT,,,Active,Untracked
TIK134,Tikkurila Otex - TIK Primers 10ltr,,Tikkurila Otex Adhesion Primer - TIK Primers 10L,143.87,311,No VAT,Tikkurila Otex Adhesion Primer - TIK Primers 10L,172.65,202,No VAT,,,Active,Untracked
TIK135,Tikkurila Otex - TIK Primers 3ltr,,Tikkurila Otex Adhesion Primer - TIK Primers 3L,46.67,311,No VAT,Tikkurila Otex Adhesion Primer - TIK Primers 3L,56.01,202,No VAT,,,Active,Untracked
TIK136,Tikkurila Otex - TIK Primers 1ltr,,Tikkurila Otex Adhesion Primer - TIK Primers 1L,17.12,311,No VAT,Tikkurila Otex Adhesion Primer - TIK Primers 1L,20.55,202,No VAT,,,Active,Untracked
TIK137,Tikkurila Otex - Colours 10ltr,,Tikkurila Otex Adhesion Primer - Colours 10L,170.38,311,No VAT,Tikkurila Otex Adhesion Primer - Colours 10L,204.46,202,No VAT,,,Active,Untracked
TIK138,Tikkurila Otex - Colours 3ltr,,Tikkurila Otex Adhesion Primer - Colours 3L,54.91,311,No VAT,Tikkurila Otex Adhesion Primer - Colours 3L,65.91,202,No VAT,,,Active,Untracked
TIK139,Tikkurila Otex - Colours 1ltr,,Tikkurila Otex Adhesion Primer - Colours 1L,20.12,311,No VAT,Tikkurila Otex Adhesion Primer - Colours 1L,24.14,202,No VAT,,,Active,Untracked
TIK140,Tikkurila Intact Primer - White 10ltr,,Tikkurila Intact Primer - White 10L,145.08,311,No VAT,Tikkurila Intact Primer - White 10L,174.10,202,No VAT,,,Active,Untracked
TIK141,Tikkurila Intact Primer - White 3ltr,,Tikkurila Intact Primer - White 3L,47.25,311,No VAT,Tikkurila Intact Primer - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK142,Tikkurila Intact Primer - White 1ltr,,Tikkurila Intact Primer - White 1L,16.59,311,No VAT,Tikkurila Intact Primer - White 1L,19.91,202,No VAT,,,Active,Untracked
TIK143,Tikkurila Intact Primer - Pastels 10ltr,,Tikkurila Intact Primer - Pastels 10L,152.37,311,No VAT,Tikkurila Intact Primer - Pastels 10L,182.84,202,No VAT,,,Active,Untracked
TIK144,Tikkurila Intact Primer - Pastels 3ltr,,Tikkurila Intact Primer - Pastels 3L,49.64,311,No VAT,Tikkurila Intact Primer - Pastels 3L,59.57,202,No VAT,,,Active,Untracked
TIK145,Tikkurila Intact Primer - Pastels 1ltr,,Tikkurila Intact Primer - Pastels 1L,17.43,311,No VAT,Tikkurila Intact Primer - Pastels 1L,20.92,202,No VAT,,,Active,Untracked
TIK146,Tikkurila Intact Primer - Colours 10ltr,,Tikkurila Intact Primer - Colours 10L,174.11,311,No VAT,Tikkurila Intact Primer - Colours 10L,208.94,202,No VAT,,,Active,Untracked
TIK147,Tikkurila Intact Primer - Colours 3ltr,,Tikkurila Intact Primer - Colours 3L,56.71,311,No VAT,Tikkurila Intact Primer - Colours 3L,68.06,202,No VAT,,,Active,Untracked
TIK148,Tikkurila Intact Primer - Colours 1ltr,,Tikkurila Intact Primer - Colours 1L,19.90,311,No VAT,Tikkurila Intact Primer - Colours 1L,23.88,202,No VAT,,,Active,Untracked
TIK149,Tikkurila Intact 8 - White 10ltr,,Tikkurila Intact 8 - White 10L,145.08,311,No VAT,Tikkurila Intact 8 - White 10L,174.10,202,No VAT,,,Active,Untracked
TIK150,Tikkurila Intact 8 - White 3ltr,,Tikkurila Intact 8 - White 3L,47.25,311,No VAT,Tikkurila Intact 8 - White 3L,56.70,202,No VAT,,,Active,Untracked
TIK151,Tikkurila Intact 8 - White 1ltr,,Tikkurila Intact 8 - White 1L,16.59,311,No VAT,Tikkurila Intact 8 - White 1L,19.91,202,No VAT,,,Active,Untracked
